Id,SalePrice
1461,114573.6521
1462,157134.466
1463,182898.4385
1464,199222.8197
1465,194371.9407
1466,171950.941
1467,185561.0912
1468,160890.7642
1469,198631.7478
1470,118165.2711
1471,181179.3648
1472,98516.31305
1473,95408.47449
1474,144018.2015
1475,112985.902
1476,356127.1879
1477,244078.3331
1478,285889.4558
1479,279962.5832
1480,445466.1057
1481,319250.4147
1482,207882.1803
1483,177639.4198
1484,163947.5052
1485,179671.3167
1486,192990.9508
1487,326881.5073
1488,240094.2516
1489,192730.1036
1490,245602.3785
1491,191090.8108
1492,88655.71935
1493,180820.9844
1494,291513.8969
1495,285049.3356
1496,243468.365
1497,181067.4626
1498,167149.4338
1499,160286.7626
1500,150933.2653
1501,181713.5602
1502,143192.6059
1503,285681.4813
1504,241763.5437
1505,229665.1289
1506,187395.7763
1507,257116.5679
1508,199635.3873
1509,156901.4081
1510,143923.2514
1511,158034.8626
1512,176354.4716
1513,146917.1411
1514,155794.3079
1515,200857.5815
1516,151984.9476
1517,177016.3078
1518,132358.1797
1519,220288.3156
1520,126116.9875
1521,130646.6954
1522,178499.0567
1523,114119.9661
1524,125650.8186
1525,120201.0099
1526,108729.662
1527,104847.7404
1528,139768.9679
1529,154536.4623
1530,203380.5313
1531,112461.7737
1532,96679.42767
1533,153137.753
1534,127526.1408
1535,144143.5639
1536,107430.2993
1537,56664.7331
1538,147970.1006
1539,197105.0109
1540,94377.68812
1541,139894.7541
1542,145443.7357
1543,190266.3154
1544,86796.25898
1545,116126.0568
1546,132733.1494
1547,130791.8637
1548,142182.0649
1549,118599.9462
1550,137044.4125
1551,107284.3902
1552,138561.4401
1553,143671.6582
1554,123605.4566
1555,159621.8158
1556,84553.7591
1557,106394.1779
1558,100797.9682
1559,74270.78968
1560,129073.3
1561,120648.336
1562,130016.0274
1563,120963.2401
1564,159770.4852
1565,146630.1858
1566,243959.5177
1567,76986.62038
1568,233395.941
1569,130230.1189
1570,129093.7021
1571,113605.0795
1572,147001.1159
1573,240791.4811
1574,121159.7609
1575,231625.7753
1576,250622.3596
1577,180970.942
1578,146184.0117
1579,140391.4121
1580,194286.4053
1581,152169.1725
1582,125861.1419
1583,289198.0557
1584,221527.4346
1585,135656.6287
1586,67046.99702
1587,101535.2864
1588,157732.0282
1589,95888.7048
1590,135128.5203
1591,96001.62031
1592,116709.9855
1593,121985.4196
1594,143820.7166
1595,104930.2611
1596,215911.6293
1597,192146.2545
1598,213151.1125
1599,169806.5509
1600,160760.4854
1601,64558.23876
1602,111596.049
1603,74819.98017
1604,263658.0467
1605,236648.9275
1606,167110.0877
1607,172431.3324
1608,210143.1632
1609,181267.0715
1610,145288.372
1611,132395.0312
1612,175218.5906
1613,168659.2814
1614,124621.546
1615,92652.4824
1616,78245.99589
1617,92351.47439
1618,128433.6504
1619,139238.4864
1620,162483.8057
1621,131561.2293
1622,143082.9805
1623,261879.6456
1624,205720.9099
1625,115787.9376
1626,169883.5238
1627,195903.2048
1628,280923.2733
1629,175989.3057
1630,333470.2318
1631,224044.4718
1632,232743.9853
1633,171292.5745
1634,185749.2184
1635,170667.095
1636,151255.2108
1637,205361.751
1638,172799.0886
1639,187071.2739
1640,246147.2376
1641,183478.2667
1642,245230.2952
1643,214895.7102
1644,239104.6021
1645,214298.837
1646,156442.1517
1647,156957.7609
1648,131497.5336
1649,139886.905
1650,112288.9652
1651,120439.7573
1652,98513.91274
1653,100522.9978
1654,143850.9199
1655,134145.0795
1656,138303.255
1657,147374.3395
1658,144661.481
1659,123053.9904
1660,152113.3806
1661,428599.8479
1662,400194.0149
1663,375895.0096
1664,474361.208
1665,309028.4869
1666,332840.6949
1667,367926.4896
1668,350422.4529
1669,308615.1989
1670,354578.8719
1671,265047.9396
1672,404893.7045
1673,286021.937
1674,239597.0271
1675,199076.3407
1676,196704.9991
1677,216719.7255
1678,450891.2589
1679,387344.2156
1680,327840.507
1681,250937.3192
1682,315457.3121
1683,189814.9442
1684,170863.5681
1685,170371.6241
1686,170464.6894
1687,169077.597
1688,185947.0272
1689,192810.7876
1690,192396.0947
1691,180089.0725
1692,254692.6132
1693,162802.1123
1694,180172.2503
1695,165487.1908
1696,269893.2538
1697,172573.4815
1698,342557.7201
1699,323914.0637
1700,261033.6825
1701,269185.2439
1702,234376.9231
1703,234058.0699
1704,281173.7066
1705,240531.9699
1706,379443.4525
1707,210875.2804
1708,201399.3366
1709,258715.2335
1710,221747.9878
1711,269159.9131
1712,251284.879
1713,282499.9655
1714,228817.9866
1715,205415.9251
1716,187393.5417
1717,177678.2418
1718,141130.0253
1719,213986.6597
1720,247528.2832
1721,158255.6409
1722,123472.269
1723,152721.1472
1724,207107.9807
1725,238230.0103
1726,186615.1761
1727,156536.7446
1728,168373.2663
1729,163645.6088
1730,164003.5639
1731,117556.8309
1732,127003.8558
1733,111203.7722
1734,121727.3417
1735,119653.6507
1736,105931.7573
1737,306692.7597
1738,258157.1127
1739,241708.3612
1740,225090.8203
1741,197406.8453
1742,172680.2607
1743,173102.5444
1744,363450.829
1745,213252.921
1746,191680.1152
1747,210962.6145
1748,225166.8428
1749,141319.9393
1750,125758.7617
1751,248535.2206
1752,116429.4953
1753,154171.8188
1754,192844.8883
1755,162779.5904
1756,129919.0504
1757,121797.3869
1758,144830.765
1759,159790.8128
1760,164659.7325
1761,147161.4599
1762,187208.1687
1763,183325.7225
1764,115490.6262
1765,176474.9472
1766,197221.9023
1767,234379.2645
1768,143072.7854
1769,171223.9874
1770,154377.8748
1771,118297.0476
1772,133460.0266
1773,123193.8624
1774,144402.3794
1775,144625.6655
1776,122458.9991
1777,107176.8242
1778,144498.7661
1779,119894.1418
1780,169999.1555
1781,125682.9415
1782,89918.1036
1783,136429.3468
1784,108401.1657
1785,119950.8508
1786,143439.5362
1787,164736.3826
1788,62213.94738
1789,94156.9941
1790,78426.4407
1791,191293.4872
1792,162499.9421
1793,127561.6535
1794,157019.5184
1795,136968.805
1796,118628.7329
1797,111025.2906
1798,122334.0487
1799,107902.0557
1800,119814.4074
1801,128828.943
1802,128994.4973
1803,151700.4836
1804,132884.7059
1805,135922.0086
1806,129523.1775
1807,131182.5072
1808,113050.0663
1809,124351.1375
1810,140842.9961
1811,91608.32533
1812,98533.86467
1813,129625.7763
1814,96126.14353
1815,55077.32205
1816,98842.46538
1817,105924.7698
1818,156960.1812
1819,133040.6868
